practice,city,state,zip,consolidator,investor
Kentwood Cat Clinic,Kentwood,MI,49512,VetCor,Harvest Partners
VCA Woodland Animal Hospital,Kentwood,MI,49512,VCA,Mars
VEG East Grand Rapids,Kentwood,MI,49512,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Paws & Claws Animal Hospital,Lambertville,MI,48144,Western Veterinary Partners,Tyree & D'Angelo Partners
Banfield Lansing W,Lansing,MI,48917,Banfield,Mars
Dix Animal Hospital,Lincoln Park,MI,48146,PetVet Care Centers,KKR
Lincoln Park Veterinary Hospital,Lincoln Park,MI,48146,CareVet,Compass Group Equity Partners
Allen Animal Hospital,Livonia,MI,48152,O'Brien Veterinary Group,Family owned corporate consolidator
"Allergy, Skin and Ear Clinic for Pets/Bloom Animal Hospital",Livonia,MI,48154,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Livonia,Livonia,MI,48150,Banfield,Mars
Strong Village Veterinary Hospital,Livonia,MI,48154,Mission Pet Health,Silver Lake and Shore Capital Partners
Country Veterinary Clinic,Ludington,MI,49431,VetCor,Harvest Partners
VCA Marshall Animal Hospital,Marshall,MI,49068,VCA,Mars
Family Pet Health Center,Mattawan,MI,49071,O'Brien Veterinary Group,Family owned corporate consolidator
Midland Animal Clinic,Midland,MI,48642,NVA,JAB Holdings
Suburban Animal Clinic of Monroe,Monroe,MI,48161,Encore Vet Group,North Castle Partners
Northwoods Pet Care Center,Mt Pleasant,MI,48858,O'Brien Veterinary Group,Family owned corporate consolidator
Animal Clinic of Muskegon,Muskegon,MI,49442,Western Veterinary Partners,Tyree & D'Angelo Partners
Glenpark Animal Hospital,Muskegon,MI,49441,NVA,JAB Holdings
Holton Road Veterinary Clinic,Muskegon,MI,49445,NVA,JAB Holdings
Northside Veterinary Hospital,Muskegon,MI,49445,NVA,JAB Holdings
Newaygo Veterinary Services,Newaygo,MI,49337,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Banfield Northville,Northville,MI,48168,Banfield,Mars
VEG Northville,Northville,MI,48168,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Paw Print Inn,Novi,MI,48375,Destination Pet,L1 Health
PetSuites Novi,Novi,MI,48374,NVA,JAB Holdings
VetSelect Animal Hospital of Novi,Novi,MI,48377,VetCor,Harvest Partners
Banfield Okemos,Okemos,MI,48864,Banfield,Mars
Schultz Veterinary Clinic,Okemos,MI,48864,Mission Pet Health,Silver Lake and Shore Capital Partners
Stoney Hills Veterinary Service,Plainwell,MI,49080,Heritage Vet Partners,Undisclosed financial sponsor
Roose Animal Hospital,Plymouth,MI,48170,Mission Pet Health,Silver Lake and Shore Capital Partners
Parkway Veterinary Clinic,Plymouth Charter Township,MI,48170,Blue River PetCare,Partners Group
Lake Huron Veterinary Clinic,Port Huron,MI,48060,Mission Pet Health,Silver Lake and Shore Capital Partners
Lakeview Animal Hospital,Portage,MI,49002,NVA,JAB Holdings
Milwood Animal Clinic,Portage,MI,49002,VetCor,Harvest Partners
VCA Portage Animal Hospital,Portage,MI,49002,VCA,Mars
VCA Veterinary Specialty & Emergency Center of Kalamazoo,Portage,MI,49002,VCA,Mars
Portland Veterinary Service,Portland,MI,48875,EverVet Partners,Freeman Spogli and Tailwind Capital
VCA Beech Road Animal Hospital,Redford,MI,48240,VCA,Mars
Ford Caputo Veterinary Hospital,Redford Charter Twp,MI,48239,Mission Pet Health,Silver Lake and Shore Capital Partners
Gull Lake Animal Hospital,Richland,MI,49083,NVA,JAB Holdings
VCA Richland Animal Hospital,Richland,MI,49083,VCA,Mars
Animal Medical Center of Troy,Rochester Hills,MI,48307,Western Veterinary Partners,Tyree & D'Angelo Partners
Banfield Rochester Hills,Rochester Hills,MI,48307,Banfield,Mars
Cat Care of Rochester Hills,Rochester Hills,MI,48307,VetCor,Harvest Partners
Rochester Veterinary Hospital,Rochester Hills,MI,48309,NVA,JAB Holdings
Willowood Acres Veterinary Clinic,Romulus,MI,48174,VetCor,Harvest Partners
Roscommon Veterinary Clinic,Roscommon,MI,48653,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Roseville,Roseville,MI,48066,Banfield,Mars
Blue Cross Animal Hospital,Royal Oak,MI,48067,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Hartrick Veterinary Clinic,Royal Oak,MI,48073,Mission Pet Health,Silver Lake and Shore Capital Partners
North Main Animal Hospital,Royal Oak,MI,48067,NVA,JAB Holdings
Animal Alley Veterinary Hospital,Saginaw,MI,48603,Heartland Veterinary Partners,Gryphon Investors
Banfield Saginaw CLOSED,Saginaw,MI,48604,Banfield,Mars
PetVet Vaccination Clinic - Saginaw,Saginaw,MI,48604,VIP Petcare / PetVet,Tractor Supply Company
Moore Veterinary Hospital,Saint Clair Shores,MI,48080,Blue River PetCare,Partners Group
Sheridan Animal Hospital,Sheridan,MI,48884,Western Veterinary Partners,Tyree & D'Angelo Partners
Phoenix Road Animal Hospital,South Haven,MI,49090,O'Brien Veterinary Group,Family owned corporate consolidator
Banfield Southfield Telegraph,Southfield,MI,48034,Banfield,Mars
BluePearl Pet Hospital Southfield,Southfield,MI,48034,BluePearl Pet Hospital,Mars
Luv-N-Care Animal Hospital,Southfield,MI,48075,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Southgate Animal Hospital,Southgate,MI,48195,PetVet Care Centers,KKR
Clarke Animal Hospital,Spring Lake,MI,49456,NVA,JAB Holdings
VCA St. Clair Shores Animal Hospital,St. Clair Shores,MI,48081,VCA,Mars
St. Johns Animal Clinic,St. Johns,MI,48879,Heartland Veterinary Partners,Gryphon Investors
Sunset Coast Veterinary Clinic,St. Joseph,MI,49085,Heartland Veterinary Partners,Gryphon Investors
Metropolitan Veterinary Center,Sterling Heights,MI,48310,Mission Pet Health,Silver Lake and Shore Capital Partners
Suttons Bay Animal Hospital,Suttons Bay,MI,49682,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Swartz Creek Animal Hospital,Swartz Creek,MI,48473,VCA,Mars
Crossroads Veterinary Clinic,Three Rivers,MI,49093,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Traverse City,Traverse City,MI,49684,Banfield,Mars
Companion Animal Hospital,Traverse City,MI,49696,Heartland Veterinary Partners,Gryphon Investors
Long Lake Animal Hospital,Traverse City,MI,49684,Mission Pet Health,Silver Lake and Shore Capital Partners
Oakwood Veterinary Hospital,Traverse City,MI,49686,Western Veterinary Partners,Tyree & D'Angelo Partners
VCA Cherry Bend Animal Hospital,Traverse City,MI,49684,VCA,Mars
Banfield Troy,Troy,MI,48083,Banfield,Mars
Maple Veterinary Hospital,Troy,MI,48083,VetCor,Harvest Partners
Troy & Heights Animal Hospital,Troy,MI,48085,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Banfield Utica,Utica,MI,48315,Banfield,Mars
Parkview Animal Hospital,Warren,MI,48091,NVA,JAB Holdings
UrgentVet Warren,Warren,MI,48092,American Veterinary Group,Oak Hill Capital
Vetco Total Care - Warren,Warren,MI,48092,Vetco Total Care,Petco
Warren Woods Veterinary Hospital,Warren,MI,48088,NVA,JAB Holdings
Exclusively Cats Veterinary Hospital,Waterford,MI,48327,Blue River PetCare,Partners Group
Banfield Waterford,Waterford Township,MI,48328,Banfield,Mars
Animal Hospital Maple Orchard,West Bloomfield Township,MI,48322,Mission Pet Health,Silver Lake and Shore Capital Partners
West Branch Veterinary Services,West Branch,MI,48661,CareVet,Compass Group Equity Partners
Ace Animal Clinic,Westland,MI,48186,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Griffith Veterinary Hospital,Westland,MI,48185,Heartland Veterinary Partners,Gryphon Investors
Westland Veterinary Hospital,Westland,MI,48185,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA White Lake Animal Hospital,White Lake,MI,48383,VCA,Mars
Northern Michigan Veterinary Hospital,Williamsburg,MI,49690,VetCor,Harvest Partners
Banfield Woodhaven,Woodhaven,MI,48183,Banfield,Mars
Wyoming Animal Hospital,Wyoming,MI,49509,VetCor,Harvest Partners
Michigan Ave Animal Hospital,Ypsilanti,MI,48197,PetVet Care Centers,KKR
South Arbor Animal Hospital,Ypsilanti,MI,48197,VetCor,Harvest Partners
Whittaker Road Animal Clinic,Ypsilanti,MI,48197,Mission Pet Health,Silver Lake and Shore Capital Partners
Zeeland Veterinary Service,Zeeland,MI,49464,PetVet Care Centers,KKR
Alexandria Veterinary Clinic,Alexandria,MN,56308,Western Veterinary Partners,Tyree & D'Angelo Partners
Andover Animal Hospital,Andover,MN,55304,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
VCA PineRidge Animal Hospital,Andover,MN,55304,VCA,Mars
Banfield Apple Valley,Apple Valley,MN,55124,Banfield,Mars
East Valley Animal Clinic,Apple Valley,MN,55124,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
South Metro Animal Emergency Care,Apple Valley,MN,55124,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
VCA Cedar View Animal Hospital,Apple Valley,MN,55124,VCA,Mars
Vetco Total Care - Apple Valley,Apple Valley,MN,55124,Vetco Total Care,Petco
BluePearl Pet Hospital Arden Hills,Arden Hills,MN,55112,BluePearl Pet Hospital,Mars
Animal Care Center,Baxter,MN,56425,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Lakeland Veterinary Hospital,Baxter,MN,56425,Veterinary Practice Partners,Audax Private Equity
Belle Plaine Animal Hospital,Belle Plaine,MN,56011,Heartland Veterinary Partners,Gryphon Investors
Animal Care Clinic,Bemidji,MN,56601,Heartland Veterinary Partners,Gryphon Investors
Bemidji Veterinary Hospital,Bemidji,MN,56601,Mission Pet Health,Silver Lake and Shore Capital Partners
H&H Veterinary Service,Benson,MN,56215,CareVet,Compass Group Equity Partners
Blaine Central Veterinary Clinic,Blaine,MN,55449,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Blaine Family Veterinary Hospital,Blaine,MN,55434,Mission Pet Health,Silver Lake and Shore Capital Partners
BluePearl Pet Hospital Blaine,Blaine,MN,55449,BluePearl Pet Hospital,Mars
Murray Animal Hospital,Blaine,MN,55434,Blue River PetCare,Partners Group
PetSuites Blaine,Blaine,MN,55434,NVA,JAB Holdings
Banfield Bloomington,Bloomington,MN,55431,Banfield,Mars
France Avenue Pet Hospital,Bloomington,MN,55431,Heartland Veterinary Partners,Gryphon Investors
VCA Bloomington Animal Hospital,Bloomington,MN,55420,VCA,Mars
Brooklyn Park Pet Hospital,Brooklyn Park,MN,55443,Veterinarian Partners,Tyree & D'Angelo Partners
Northbrook Animal Hospital,Brooklyn Park,MN,55444,Western Veterinary Partners,Tyree & D'Angelo Partners
Banfield Burnsville,Burnsville,MN,55306,Banfield,Mars
Burnsville Animal Clinic,Burnsville,MN,55337,WellHaven Pet Health,Capricorn Healthcare
Burnsville Parkway Animal Hospital,Burnsville,MN,55337,Mission Pet Health,Silver Lake and Shore Capital Partners
Crossroads Animal Hospital,Burnsville,MN,55306,WellHaven Pet Health,Capricorn Healthcare
Peace of Mind Veterinary Care,Burnsville,MN,55306,Blue River PetCare,Partners Group
VIP Petcare Vaccination Clinic - Burnsville,Burnsville,MN,55337,VIP Petcare / PetVet,Tractor Supply Company
Caledonia Veterinary Clinic,Caledonia,MN,55921,Heritage Vet Partners,Undisclosed financial sponsor
Champlin Animal Hospital,Champlin,MN,55316,Hometown Veterinary Partners,Briarcliff Capital Partners
Elm Creek Animal Hospital,Champlin,MN,55316,Western Veterinary Partners,Tyree & D'Angelo Partners
Hound Dog Pet Hotel,Chanhassen,MN,55317,Destination Pet,L1 Health
VCA Chanhassen Animal Hospital,Chanhassen,MN,55317,VCA,Mars
Chaska Valley Veterinary Clinic,Chaska,MN,55318,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Vetco Total Care - Chaska,Chaska,MN,55318,Vetco Total Care,Petco
Clarks Grove Vet Clinic,Clarks Grove,MN,56016,Heartland Veterinary Partners,Gryphon Investors
Crow-Goebel Veterinary Clinic,Cloquet,MN,55720,Blue River PetCare,Partners Group
Cold Spring Veterinary Clinic,Cold Spring,MN,56320,Heartland Veterinary Partners,Gryphon Investors
Banfield Coon Rapids,Coon Rapids,MN,55448,Banfield,Mars
Foley Boulevard Animal Hospital,Coon Rapids,MN,55448,Blue River PetCare,Partners Group
UrgentVet Coon Rapids,Coon Rapids,MN,55433,American Veterinary Group,Oak Hill Capital
WellHaven Pet Health Coon Rapids,Coon Rapids,MN,55448,WellHaven Pet Health,Capricorn Healthcare
Corcoran Pet Care Center,Corcoran,MN,55340,VetCor,Harvest Partners
Cottage Grove Animal Hospital,Cottage Grove,MN,55016,NVA,JAB Holdings
Park Grove Pet Hospital,Cottage Grove,MN,55016,Veterinary Practice Partners,Audax Private Equity
BluePearl Pet Hospital Duluth,Duluth,MN,55806,BluePearl Pet Hospital,Mars
Canal Bark,Duluth,MN,55811,Destination Pet,L1 Health
North Shore Veterinary Hospital,Duluth,MN,55804,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Countryside Animal Hospital,Dundas,MN,55019,Blue River PetCare,Partners Group
Animal Dermatology Clinic,Eagan,MN,55121,Animal Dermatology Clinic,Percheron Capital
Banfield Eagan,Eagan,MN,55123,Banfield,Mars
Companion Animal Hospital,Eagan,MN,55123,VetCor,Harvest Partners
Lexington Pet Clinic,Eagan,MN,55123,Blue River PetCare,Partners Group
PetSuites Eagan,Eagan,MN,55121,NVA,JAB Holdings
Peterson Veterinary Clinic,East Grand Forks,MN,56721,CareVet,Compass Group Equity Partners
Banfield Eden Prairie,Eden Prairie,MN,55344,Banfield,Mars
Bush Lake Pet Hospital,Eden Prairie,MN,55347,Heartland Veterinary Partners,Gryphon Investors
Flying Cloud Animal Hospital,Eden Prairie,MN,55344,NVA,JAB Holdings
Prairie Village Pet Hospital,Eden Prairie,MN,55347,CareVet,Compass Group Equity Partners
VEG Eden Prairie,Eden Prairie,MN,55346,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Edgerton Veterinary Clinic,Edgerton,MN,56128,Heritage Vet Partners,Undisclosed financial sponsor
Banfield Edina,Edina,MN,55436,Banfield,Mars
Edina Pet Hospital,Edina,MN,55439,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Southdale Pet Hospital,Edina,MN,55435,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Excelsior Animal Hospital,Excelsior,MN,55331,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Eyota Veterinary Clinic,Eyota,MN,55934,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Heartland Animal Hospital - Faribault,Faribault,MN,55021,Heartland Veterinary Partners,Gryphon Investors
Vetco Total Care - Fridley,Fridley,MN,55421,Vetco Total Care,Petco
BluePearl Pet Hospital Golden Valley,Golden Valley,MN,55427,BluePearl Pet Hospital,Mars
VCA All About Pets Animal Hospital,Golden Valley,MN,55422,VCA,Mars
Grand Rapids Veterinary Clinic,Grand Rapids,MN,55744,Blue River PetCare,Partners Group
North Country Veterinary Clinic,Grand Rapids,MN,55744,NVA,JAB Holdings
Ham Lake Veterinary Hospital,Ham Lake,MN,55304,Heartland Veterinary Partners,Gryphon Investors
Airport Animal Hospital,Hermantown,MN,55811,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Hutchinson Pet Hospital,Hutchinson,MN,55350,CareVet,Compass Group Equity Partners
Lifelong Veterinary Clinic,Hutchinson,MN,55350,VetCor,Harvest Partners
Inver Grove Heights Animal Hospital,Inver Grove Heights,MN,55076,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Parkview Cat Clinic,Inver Grove Heights,MN,55076,Western Veterinary Partners,Tyree & D'Angelo Partners
Isanti Pet Clinic,Isanti,MN,55040,Heartland Veterinary Partners,Gryphon Investors
St. Francis Veterinary Clinic,Isanti,MN,55040,NVA,JAB Holdings
Summers Ridge Veterinary Clinic,Janesville,MN,56048,Heartland Veterinary Partners,Gryphon Investors
K M Regional Veterinary Hospital,Kasson,MN,55944,Heartland Veterinary Partners,Gryphon Investors
Kimball Veterinary Clinic,Kimball,MN,55353,VetCor,Harvest Partners
Cedar Pet Clinic,Lake Elmo,MN,55042,CareVet,Compass Group Equity Partners
Southfork Animal Hospital,Lakeville,MN,55044,WellHaven Pet Health,Capricorn Healthcare
UrgentVet Lakeville,Lakeville,MN,55044,American Veterinary Group,Oak Hill Capital
Lewiston Veterinary Clinic,Lewiston,MN,55952,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Animal Medical Center of Lindstrom,Lindstrom,MN,55045,Heartland Veterinary Partners,Gryphon Investors
Kelley Animal Hospital,Lino Lakes,MN,55014,VetCor,Harvest Partners
Rice Creek Animal Hospital,Lino Lakes,MN,55014,Veterinary Practice Partners,Audax Private Equity
Litchfield Veterinary Clinic,Litchfield,MN,55355,VetCor,Harvest Partners
Rice Pet Clinic & Hospital,Little Canada,MN,55117,Mission Pet Health,Silver Lake and Shore Capital Partners
River Hills Pet Care Hospital,Mankato,MN,56001,PetVet Care Centers,KKR
The Paw Mankato,Mankato,MN,56001,Destination Pet,L1 Health
Banfield Maple Grove,Maple Grove,MN,55369,Banfield,Mars
Maple Grove Pet Hospital,Maple Grove,MN,55369,Veterinarian Partners,Tyree & D'Angelo Partners
VCA Animal Wellness Center of Maple Grove,Maple Grove,MN,55311,VCA,Mars
VEG Maple Grove,Maple Grove,MN,55369,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
"WellHaven Pet Health Maple Grove, MN",Maple Grove,MN,55369,WellHaven Pet Health,Capricorn Healthcare
Maple Lake Veterinary Clinic,Maple Lake,MN,55358,VetCor,Harvest Partners
All Pets MSRC,Mapleton,MN,56065,NVA,JAB Holdings
Banfield Maplewood,Maplewood,MN,55109,Banfield,Mars
Keller Lake Animal Hospital,Maplewood,MN,55109,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Banfield Quarry,Minneapolis,MN,55413,Banfield,Mars
Blue Cross Animal Hospital,Minneapolis,MN,55419,Mission Pet Health,Silver Lake and Shore Capital Partners
Lake Harriet Veterinary,Minneapolis,MN,55409,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Livewell Animal Hospital of St. Anthony,Minneapolis,MN,55413,Mission Pet Health,Silver Lake and Shore Capital Partners
Pet Central Animal Hospital,Minneapolis,MN,55418,Blue River PetCare,Partners Group
VCA Cedar Animal Hospital,Minneapolis,MN,55407,VCA,Mars
Westgate Pet Clinic,Minneapolis,MN,55410,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Minnetonka,Minnetonka,MN,55345,Banfield,Mars
Banfield Minnetonka Country Village,Minnetonka,MN,55305,Banfield,Mars
Livewell Animal Urgent Care of Minnetonka,Minnetonka,MN,55305,Mission Pet Health,Silver Lake and Shore Capital Partners
Mounds View Animal Hospital,Mounds View,MN,55112,Blue River PetCare,Partners Group
New Hope Animal Hospital,New Hope,MN,55427,PetVet Care Centers,KKR
Plymouth Heights Pet Hospital,New Hope,MN,55428,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
New Ulm Regional Veterinary Clinic,New Ulm,MN,56073,PetVet Care Centers,KKR
